Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Infeksi_jamur,gatal,ruam_kulit,letusan_kulit_nodal,bercak_diskromik,,,,,,,,,,,,,
Infeksi_jamur,ruam_kulit,letusan_kulit_nodal,bercak_diskromik,,,,,,,,,,,,,,
Infeksi_jamur,gatal,letusan_kulit_nodal,bercak_diskromik,,,,,,,,,,,,,,
Infeksi_jamur,gatal,ruam_kulit,bercak_diskromik,,,,,,,,,,,,,,
Infeksi_jamur,gatal,ruam_kulit,letusan_kulit_nodal,,,,,,,,,,,,,,
Infeksi_jamur,ruam_kulit,letusan_kulit_nodal,bercak_diskromik,,,,,,,,,,,,,,
Infeksi_jamur,gatal,letusan_kulit_nodal,bercak_diskromik,,,,,,,,,,,,,,
Infeksi_jamur,gatal,ruam_kulit,bercak_diskromik,,,,,,,,,,,,,,
Infeksi_jamur,gatal,ruam_kulit,letusan_kulit_nodal,,,,,,,,,,,,,,
Infeksi_jamur,gatal,ruam_kulit,letusan_kulit_nodal,bercak_diskromik,,,,,,,,,,,,,
Alergi,bersin_terus_menerus,menggigil,kedinginan,mata_berair,,,,,,,,,,,,,
Alergi,menggigil,kedinginan,mata_berair,,,,,,,,,,,,,,
Alergi,bersin_terus_menerus,kedinginan,mata_berair,,,,,,,,,,,,,,
Alergi,bersin_terus_menerus,menggigil,mata_berair,,,,,,,,,,,,,,
Alergi,bersin_terus_menerus,menggigil,kedinginan,,,,,,,,,,,,,,
Alergi,menggigil,kedinginan,mata_berair,,,,,,,,,,,,,,
Alergi,bersin_terus_menerus,kedinginan,mata_berair,,,,,,,,,,,,,,
Alergi,bersin_terus_menerus,menggigil,mata_berair,,,,,,,,,,,,,,
Alergi,bersin_terus_menerus,menggigil,kedinginan,,,,,,,,,,,,,,
Alergi,bersin_terus_menerus,menggigil,kedinginan,mata_berair,,,,,,,,,,,,,
GERD,sakit_perut,asam_lambung,sariawan_di_lidah,muntah,batuk,nyeri_dada,,,,,,,,,,,
GERD,sakit_perut,sariawan_di_lidah,muntah,batuk,nyeri_dada,,,,,,,,,,,,
GERD,sakit_perut,asam_lambung,muntah,batuk,nyeri_dada,,,,,,,,,,,,
GERD,sakit_perut,asam_lambung,sariawan_di_lidah,batuk,nyeri_dada,,,,,,,,,,,,
GERD,sakit_perut,asam_lambung,sariawan_di_lidah,muntah,nyeri_dada,,,,,,,,,,,,
GERD,sakit_perut,asam_lambung,sariawan_di_lidah,muntah,batuk,,,,,,,,,,,,
GERD,asam_lambung,sariawan_di_lidah,muntah,batuk,nyeri_dada,,,,,,,,,,,,
GERD,sakit_perut,sariawan_di_lidah,muntah,batuk,nyeri_dada,,,,,,,,,,,,
GERD,sakit_perut,asam_lambung,muntah,batuk,nyeri_dada,,,,,,,,,,,,
GERD,sakit_perut,asam_lambung,sariawan_di_lidah,batuk,nyeri_dada,,,,,,,,,,,,
Kolestasis_kronis,gatal,muntah,kulit_kekuningan,mual,kehilangan_nafsu_makan,nyeri_perut_bagian_atas,mata_menguning,,,,,,,,,,
Kolestasis_kronis,muntah,kulit_kekuningan,mual,kehilangan_nafsu_makan,nyeri_perut_bagian_atas,mata_menguning,,,,,,,,,,,
Kolestasis_kronis,gatal,kulit_kekuningan,mual,kehilangan_nafsu_makan,nyeri_perut_bagian_atas,mata_menguning,,,,,,,,,,,
Kolestasis_kronis,gatal,muntah,mual,kehilangan_nafsu_makan,nyeri_perut_bagian_atas,mata_menguning,,,,,,,,,,,
Kolestasis_kronis,gatal,muntah,kulit_kekuningan,kehilangan_nafsu_makan,nyeri_perut_bagian_atas,mata_menguning,,,,,,,,,,,
Kolestasis_kronis,gatal,muntah,kulit_kekuningan,mual,nyeri_perut_bagian_atas,mata_menguning,,,,,,,,,,,
Kolestasis_kronis,gatal,muntah,kulit_kekuningan,mual,kehilangan_nafsu_makan,mata_menguning,,,,,,,,,,,
Kolestasis_kronis,gatal,muntah,kulit_kekuningan,mual,kehilangan_nafsu_makan,nyeri_perut_bagian_atas,,,,,,,,,,,
Kolestasis_kronis,gatal,muntah,kulit_kekuningan,mual,kehilangan_nafsu_makan,nyeri_perut_bagian_atas,mata_menguning,,,,,,,,,,
Kolestasis_kronis,gatal,muntah,kulit_kekuningan,mual,kehilangan_nafsu_makan,nyeri_perut_bagian_atas,mata_menguning,,,,,,,,,,
Reaksi_Obat,gatal,ruam_kulit,sakit_perut,rasa_terbakar_saat_berkemih,bercak_buang_air_kecil,,,,,,,,,,,,
Reaksi_Obat,gatal,sakit_perut,rasa_terbakar_saat_berkemih,bercak_buang_air_kecil,,,,,,,,,,,,,
Reaksi_Obat,gatal,ruam_kulit,rasa_terbakar_saat_berkemih,bercak_buang_air_kecil,,,,,,,,,,,,,
Reaksi_Obat,gatal,ruam_kulit,sakit_perut,bercak_buang_air_kecil,,,,,,,,,,,,,
Reaksi_Obat,gatal,ruam_kulit,sakit_perut,rasa_terbakar_saat_berkemih,,,,,,,,,,,,,
Reaksi_Obat,ruam_kulit,sakit_perut,rasa_terbakar_saat_berkemih,bercak_buang_air_kecil,,,,,,,,,,,,,
Reaksi_Obat,gatal,sakit_perut,rasa_terbakar_saat_berkemih,bercak_buang_air_kecil,,,,,,,,,,,,,
Reaksi_Obat,gatal,ruam_kulit,rasa_terbakar_saat_berkemih,bercak_buang_air_kecil,,,,,,,,,,,,,
Reaksi_Obat,gatal,ruam_kulit,sakit_perut,bercak_buang_air_kecil,,,,,,,,,,,,,
Reaksi_Obat,gatal,ruam_kulit,sakit_perut,rasa_terbakar_saat_berkemih,,,,,,,,,,,,,
Penyakit_ulkus_peptikum,muntah,kehilangan_nafsu_makan,nyeri_perut_bagian_atas,keluarnya_gas,gatal_internal,,,,,,,,,,,,
Penyakit_ulkus_peptikum,muntah,gangguan_pencernaan,nyeri_perut_bagian_atas,keluarnya_gas,gatal_internal,,,,,,,,,,,,
Penyakit_ulkus_peptikum,gangguan_pencernaan,kehilangan_nafsu_makan,nyeri_perut_bagian_atas,keluarnya_gas,gatal_internal,,,,,,,,,,,,
Penyakit_ulkus_peptikum,muntah,kehilangan_nafsu_makan,nyeri_perut_bagian_atas,keluarnya_gas,gatal_internal,,,,,,,,,,,,
Penyakit_ulkus_peptikum,muntah,gangguan_pencernaan,nyeri_perut_bagian_atas,keluarnya_gas,gatal_internal,,,,,,,,,,,,
