Disease,Description
Reaksi_Obat,"Reaksi obat yang tidak diinginkan (ADR) adalah cedera yang disebabkan oleh penggunaan obat. ADR dapat terjadi setelah pemberian obat dalam dosis tunggal atau dalam jangka waktu yang lama, atau akibat kombinasi dua atau lebih obat."
Malaria,Malaria adalah penyakit menular yang disebabkan oleh parasit protozoa dari keluarga Plasmodium yang dapat ditularkan melalui gigitan nyamuk Anopheles atau melalui jarum suntik atau transfusi yang terkontaminasi. Malaria falciparum adalah jenis yang paling mematikan.
Alergi,"Alergi adalah respons sistem kekebalan tubuh terhadap zat asing yang biasanya tidak berbahaya bagi tubuh Anda, yang dapat berupa makanan tertentu, serbuk sari, atau bulu hewan peliharaan. Tugas sistem kekebalan tubuh Anda adalah menjaga Anda tetap sehat dengan melawan patogen berbahaya."
Hipotiroidisme,"Hipotiroidisme, juga disebut tiroid kurang aktif atau tiroid rendah, adalah kelainan pada sistem endokrin di mana kelenjar tiroid tidak menghasilkan hormon tiroid yang cukup."
Psoriasis,"Psoriasis adalah kelainan kulit umum yang membentuk bercak tebal, merah, dan bergelombang yang ditutupi sisik keperakan. Bercak ini dapat muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan punggung bagian bawah. Psoriasis tidak dapat ditularkan dari orang ke orang. Kadang-kadang terjadi pada anggota keluarga yang sama."
GERD,"Penyakit refluks gastroesofagus, atau GERD, adalah gangguan pencernaan yang memengaruhi sfingter esofagus bagian bawah (LES), yaitu cincin otot di antara kerongkongan dan lambung. Banyak orang, termasuk wanita hamil, menderita nyeri ulu hati atau gangguan pencernaan asam yang disebabkan oleh GERD."
Kolestasis_kronis,"Penyakit kolestatik kronis, baik yang terjadi pada masa bayi, masa kanak-kanak maupun dewasa, ditandai dengan rusaknya transportasi asam empedu dari hati ke usus, yang dalam banyak kasus disebabkan oleh kerusakan primer pada epitel empedu."
Hepatitis_A,Hepatitis A adalah infeksi hati yang sangat menular yang disebabkan oleh virus hepatitis A. Virus ini adalah salah satu dari beberapa jenis virus hepatitis yang menyebabkan peradangan dan memengaruhi kemampuan hati Anda untuk berfungsi.
Osteoartritis,"Osteoartritis adalah bentuk radang sendi yang paling umum, yang memengaruhi jutaan orang di seluruh dunia. Ini terjadi ketika tulang rawan pelindung yang melindungi ujung tulang Anda melemah seiring waktu."
(vertigo)_Vertigo_Posisi_Paroymsal,Vertigo posisi paroksismal jinak (BPPV) adalah salah satu penyebab vertigo yang paling umum - sensasi tiba-tiba bahwa Anda berputar atau bagian dalam kepala Anda berputar. Vertigo posisi paroksismal jinak menyebabkan episode singkat pusing ringan hingga intens.
Hipoglikemia," Hipoglikemia adalah suatu kondisi di mana kadar gula darah (glukosa) Anda lebih rendah dari normal. Glukosa adalah sumber energi utama tubuh Anda. Hipoglikemia sering dikaitkan dengan pengobatan diabetes. Namun, obat lain dan berbagai kondisi - banyak yang jarang terjadi - dapat menyebabkan gula darah rendah pada orang yang tidak menderita diabetes."
Jerawat,"Jerawat vulgaris adalah pembentukan komedo, papula, pustula, nodul, dan/atau kista akibat penyumbatan dan peradangan pada unit pilosebasea (folikel rambut dan kelenjar sebasea yang menyertainya). Jerawat berkembang di wajah dan tubuh bagian atas. Ini paling sering menyerang remaja."
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, yang juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke dalam sel untuk digunakan sebagai energi."
Impetigo,"Impetigo (im-puh-TIE-go) adalah infeksi kulit yang umum dan sangat menular yang terutama menyerang bayi dan anak-anak. Impetigo biasanya muncul sebagai luka merah di wajah, terutama di sekitar hidung dan mulut anak, serta di tangan dan kaki. Luka ini akan pecah dan membentuk kerak berwarna madu."
Hipertensi,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah di arteri terus meningkat. Tekanan darah tinggi biasanya tidak menimbulkan gejala."
Penyakit_ulkus_peptikum,"Penyakit tukak lambung (PUD) adalah luka pada lapisan dalam lambung, bagian pertama dari usus kecil, atau kadang-kadang kerongkongan bagian bawah. Tukak di lambung disebut tukak lambung, sedangkan tukak di bagian pertama usus adalah tukak duodenum."
Wasir_dimorfik_(ambeien),"Wasir, juga dieja wasir, adalah struktur pembuluh darah di saluran anus. Dalam ... Nama lain, Wasir, ambeien, penyakit ambeien ."
Flu_biasa,"Pilek adalah infeksi virus pada hidung dan tenggorokan (saluran pernapasan bagian atas). Biasanya tidak berbahaya, meskipun mungkin tidak terasa seperti itu. Banyak jenis virus yang dapat menyebabkan flu biasa."
Cacar_air,"Cacar air adalah penyakit yang sangat menular yang disebabkan oleh virus varicella-zoster (VZV). Penyakit ini dapat menyebabkan ruam yang gatal dan melepuh. Ruam pertama kali muncul di dada, punggung, dan wajah, lalu menyebar ke seluruh tubuh, menyebabkan antara 250 hingga 500 lepuhan yang gatal."
Spondilosis_serviks,"Spondilosis servikal adalah istilah umum untuk keausan yang berkaitan dengan usia yang memengaruhi cakram tulang belakang di leher Anda. Ketika diskus mengalami dehidrasi dan menyusut, tanda-tanda osteoartritis akan muncul, termasuk proyeksi tulang di sepanjang tepi tulang (taji tulang)."
Hipertiroidisme,"Hipertiroidisme (tiroid yang terlalu aktif) terjadi ketika kelenjar tiroid Anda memproduksi terlalu banyak hormon tiroksin. Hipertiroidisme dapat mempercepat metabolisme tubuh Anda, menyebabkan penurunan berat badan yang tidak disengaja dan detak jantung yang cepat atau tidak teratur."
Infeksi_saluran_kemih,"Infeksi saluran kemih: Infeksi pada ginjal, ureter, kandung kemih, atau uretra. Disingkat ISK. Tidak semua orang yang mengalami ISK memiliki gejala, tetapi gejala yang umum termasuk sering ingin buang air kecil dan rasa sakit atau terbakar saat buang air kecil."
Varises,"Vena yang telah membesar dan terpelintir, sering kali tampak sebagai pembuluh darah yang menonjol dan berwarna biru, yang terlihat jelas melalui kulit. Varises paling sering terjadi pada orang dewasa yang lebih tua, terutama wanita, dan terjadi terutama pada kaki."
AIDS,"Acquired Immunodeficiency Syndrome (AIDS) adalah suatu kondisi kronis yang berpotensi mengancam jiwa yang disebabkan oleh Human Immunodeficiency Virus (HIV). Dengan merusak sistem kekebalan tubuh Anda, HIV mengganggu kemampuan tubuh Anda untuk melawan infeksi dan penyakit."
Kelumpuhan_(pendarahan_otak),"Perdarahan intraserebral (ICH) adalah ketika darah tiba-tiba masuk ke dalam jaringan otak, menyebabkan kerusakan pada otak Anda. Gejala biasanya muncul tiba-tiba selama ICH. Gejala tersebut meliputi sakit kepala, kelemahan, kebingungan, dan kelumpuhan, terutama pada satu sisi tubuh Anda."
Tifus,"Penyakit akut yang ditandai dengan demam yang disebabkan oleh infeksi bakteri Salmonella typhi. Demam tifoid memiliki gejala awal yang berbahaya, dengan demam, sakit kepala, sembelit, tidak enak badan, menggigil, dan nyeri otot. Diare jarang terjadi, dan muntah biasanya tidak parah."
Hepatitis_B,"Hepatitis B adalah infeksi pada hati Anda. Infeksi ini dapat menyebabkan jaringan parut pada organ, gagal hati, dan kanker. Hal ini dapat berakibat fatal jika tidak diobati. Penyakit ini menyebar ketika orang bersentuhan dengan darah, luka terbuka, atau cairan tubuh seseorang yang mengidap virus hepatitis B."
Infeksi_jamur,"Pada manusia, infeksi jamur terjadi ketika jamur yang menyerang mengambil alih suatu area tubuh dan terlalu banyak untuk ditangani oleh sistem kekebalan tubuh. Jamur dapat hidup di udara, tanah, air, dan tanaman. Ada juga beberapa jamur yang hidup secara alami di dalam tubuh manusia. Seperti halnya mikroba lainnya, ada jamur yang bermanfaat dan ada pula jamur yang berbahaya."
Hepatitis_C,"Peradangan hati akibat virus hepatitis C (HCV), yang biasanya menyebar melalui transfusi darah (jarang terjadi), hemodialisis, dan penggunaan jarum suntik. Kerusakan yang ditimbulkan oleh hepatitis C pada hati dapat menyebabkan sirosis dan komplikasinya serta kanker."
Migrain,"Migrain dapat menyebabkan nyeri berdenyut yang parah atau sensasi berdenyut, biasanya di satu sisi kepala. Hal ini sering disertai dengan mual, muntah, dan kepekaan yang ekstrem terhadap cahaya dan suara. Serangan migrain dapat berlangsung berjam-jam hingga berhari-hari, dan rasa sakitnya bisa sangat parah sehingga mengganggu aktivitas sehari-hari Anda."
Asma_Bronkial,"Asma bronkial adalah suatu kondisi medis yang menyebabkan saluran udara di paru-paru membengkak dan menyempit. Karena pembengkakan ini, jalur udara menghasilkan lendir berlebih sehingga sulit bernapas, yang mengakibatkan batuk, napas pendek, dan mengi. Penyakit ini bersifat kronis dan mengganggu pekerjaan sehari-hari."
Hepatitis_alkoholik,"Hepatitis alkoholik adalah kondisi peradangan hati yang disebabkan oleh konsumsi alkohol dalam jumlah besar dalam jangka waktu yang lama. Kondisi ini juga diperparah oleh pesta minuman keras dan penggunaan alkohol secara terus-menerus. Jika Anda mengalami kondisi ini, Anda harus berhenti minum alkohol"
Penyakit_kuning,Pewarnaan kuning pada kulit dan sklera (bagian putih mata) oleh kadar pigmen empedu bilirubin dalam darah yang abnormal. Warna kuning meluas ke jaringan dan cairan tubuh lainnya. Penyakit kuning pernah disebut “morbus regius” (penyakit agung) dengan keyakinan bahwa hanya sentuhan seorang raja yang dapat menyembuhkannya
Hepatitis_E,Suatu bentuk peradangan hati yang jarang terjadi yang disebabkan oleh infeksi virus hepatitis E (HEV). Penyakit ini ditularkan melalui makanan atau minuman yang ditangani oleh orang yang terinfeksi atau melalui pasokan air yang terinfeksi di daerah di mana tinja dapat masuk ke dalam air. Hepatitis E tidak menyebabkan penyakit hati kronis.
Demam_berdarah,"Demam Berdarah Dengue (DBD) adalah penyakit infeksi akut yang disebabkan oleh flavivirus (virus Dengue dari genus Flavivirus), ditularkan oleh nyamuk aedes, dan ditandai dengan sakit kepala, nyeri sendi yang parah, dan ruam. Disebut juga demam patah tulang, demam berdarah."
Hepatitis_D,"Hepatitis D, juga dikenal sebagai virus hepatitis delta, adalah infeksi yang menyebabkan hati meradang. Pembengkakan ini dapat mengganggu fungsi hati dan menyebabkan masalah hati jangka panjang, termasuk jaringan parut hati dan kanker. Kondisi ini disebabkan oleh virus hepatitis D (HDV)."
Serangan_jantung,"Kematian otot jantung akibat hilangnya suplai darah. Hilangnya suplai darah biasanya disebabkan oleh penyumbatan total pada arteri koroner, salah satu arteri yang memasok darah ke otot jantung."
